Data,Contagem de Minutos em movimento,Calorias (kcal),Distância (m),Pontos cardio,Minutos de cardio,Frequência cardíaca média (bpm),Frequência cardíaca máxima (bpm),Frequência cardíaca mínima (bpm),Velocidade média (m/s),Velocidade máxima (m/s),Velocidade mínima (m/s),Contagem de passos,Peso médio (kg),Peso máximo (kg),Peso mínimo (kg),Duração de Bicicleta (ms),Duração de Caminhada (ms),Duração de Corrida (ms),Duração de Outra (ms)
2024-02-09,7,1819.0007435,400.7480829563047,1.0,1,,,,0.5617442879656506,1.3063660055922992,0.29360924935814736,737,,,,,434976,,
2024-02-10,8,1837.735319602816,582.313507307585,3.0,3,,,,0.3205180420303364,1.6395689941926916,0.27186041607235867,900,,,,,680056,,
2024-02-11,1,1792.6338187708332,155.28666966053126,,,,,,0.35750902547726593,0.6696705504143118,0.2609859994294643,492,,,,,90052,,
2024-02-12,37,1862.882686746957,2839.874277715235,23.0,18,,,,0.34668540643192436,3.722828256815441,0.25011158278657,3914,,,,,1009027,,
2024-02-13,23,1884.6755790520833,1642.0227106285097,18.0,18,,,,0.35107800257518323,1.3640260995031235,0.25011158278657,2557,,,,,1294114,,
2024-02-14,30,2074.343118812499,2072.198970201325,20.0,20,,,,0.5182314962800395,1.2852430234941439,0.2501188328723966,3274,,,,,2224639,693198,
2024-02-15,19,1831.1523821875003,943.1776037596352,2.0,2,,,,1.3289772941769853,2.61976136632706,0.3071986860426954,1561,,,,,593940,,
2024-02-16,13,1829.36683340625,569.952476652698,,,,,,0.32018278934704697,1.3996428520691455,0.25011158278657,1012,,,,,570582,,
2024-02-17,9,1836.1790007271645,389.23537831066,,,,,,0.4462106063484916,1.2664429247119076,0.282734832715253,753,,,,,659697,,
2024-02-18,,1785.75,28.708459937241074,,,,,,0.31884338995665795,0.3875751971267459,0.25011158278657,161,,,,,,,
2024-02-19,47,2009.5282660267808,2807.0637318436434,20.0,20,,,,0.47018089016095543,1.7043450627044532,0.24945187653002884,4312,,,,,2927399,,
2024-02-20,9,1820.6542858493303,471.7556640506895,1.0,1,,,,0.6246151553981691,1.2942053713114674,0.2525427272685039,846,,,,,456607,,
2024-02-21,33,1959.8168771425194,1799.3244945838733,10.0,10,,,,0.44790935680929134,1.6606692552406606,0.25011158278657,2906,,,,,2277090,,
2024-02-22,1,1790.9101885833331,76.39244102197704,,,,,,0.5900275394092693,0.9410312249937611,0.27186041607235867,315,,,,,67504,,
2024-02-23,4,1810.9158568958333,193.28037805589952,,,,,,0.6045939475099913,0.945864630733501,0.25011158278657,388,,,,,329212,,
2024-02-24,5,1803.3866000661885,251.08664419898116,,,,,,0.863824883003266,1.0430701042268118,0.27833549315819267,519,,,,,230717,,
2024-02-25,,1793.5208599583334,86.19384814880478,,,,,,0.2886458024302915,0.31535808264393606,0.25011158278657,212,,,,,101656,,
2024-02-26,,1785.75,54.90153150662438,,,,,,0.3316171142219564,0.33828002616054165,0.32623248815142813,194,,,,,,,
2024-02-27,29,1925.7411230134107,2064.0274194290014,15.0,15,,,,0.48191673889257536,1.8860454413425487,0.27186041607235867,3058,,,,,1831322,,
2024-02-28,38,1942.8330843808587,2128.391197599106,16.0,16,,,,0.4955252648304658,1.8559323474934388,0.25011158278657,3181,,,,,2054913,,
2024-02-29,7,1822.4472433958001,353.5989424690435,,,,,,0.7237424254617818,1.250961742684836,0.2507828545872643,607,,,,,480063,,
2024-03-01,8,1813.837726536458,445.6351718255851,2.0,2,,,,0.49439478969747075,1.4204907720327677,0.30448366600104165,837,,,,,367435,,
2024-03-02,8,1846.9530135572916,464.3286765808112,2.0,2,,,,0.7207144289451857,1.4152352762642808,0.2936092219494789,771,,,,,800639,,
2024-03-03,,1785.75,84.99474487207236,,,,,,0.4663720366226374,0.649092212515745,0.25011158278657,232,,,,,,,
2024-03-04,7,1817.989990074658,344.0556444276423,1.0,1,,,,0.4683124444677135,1.303826624516741,0.25011158278657,729,,,,,421754,,
2024-03-05,8,1824.9753498044838,403.4858343512812,1.0,1,,,,0.32610750310980796,1.2608078923625277,0.2609859994294643,751,,,,,513134,,
2024-03-06,8,1821.0428340104168,370.6550380465353,1.0,1,,,,0.33737952668917043,1.2553193435655097,0.2899626787106819,604,,,,,461690,,
2024-03-07,16,1837.2859840631536,677.1122666830526,,,,,,0.30569241629536226,1.2778404143822062,0.2609859994294643,1115,,,,,674178,,
2024-03-08,7,1799.2091045617567,345.75926767633905,1.0,1,,,,0.291870720243673,1.338795691029305,0.27186041607235867,589,,,,,176068,,
2024-03-09,,1793.5528130104167,37.84296991727233,,,,,,0.31535807707623487,0.32623248815142813,0.30448366600104165,212,,,,,102074,,
2024-03-10,,1785.75,110.26658475894868,,,,,,0.32121861975471677,0.32623250243835944,0.30448366600104165,333,,,,,,,
2024-03-11,6,1817.7169656977053,351.65955977382737,2.0,2,,,,0.7038477359715262,1.2457093798299912,0.5198162183481322,647,,,,,418182,,
2024-03-12,8,1798.5173348072115,377.28443276481926,,,,,,0.8540698832465309,1.2168308223190327,0.25309465889066046,698,,,,,167019,,
2024-03-13,,1785.75,22.836274950078128,,,,,,0.31535808264393606,0.31535808264393606,0.31535808264393606,113,,,,,,,
2024-03-14,7,1809.605628875,405.6413625561121,1.0,1,,,,0.8063981660494919,1.3320997368372387,0.32623248815142813,778,,,,,312072,,
2024-03-15,20,1869.0533477340432,1031.1486716877123,7.0,7,,,,0.3770015651667307,1.2985284043558225,0.2566000197643586,1535,,,,,1089749,,
2024-03-16,32,1934.0468148413943,2127.4923671730066,18.0,18,,,,0.368815701396824,1.3553199818074713,0.26884121676641204,3372,,,,,1939974,,
2024-03-17,,1785.7499999999998,,,,,,,,,,54,,,,,,,
2024-03-18,20,1881.6052213833748,1223.279618247867,8.0,8,,,,0.6410943556185146,1.615902844163467,0.25851018900874806,1874,,,,,1253949,,
2024-03-19,13,1871.228250288119,789.0858470621487,4.0,4,,,,0.5699560089763681,1.3437012705595768,0.29360924935814736,1279,,,,,1118201,,
2024-03-20,23,1819.867947290928,1574.1844316805839,11.0,10,,,,0.5465295866956505,2.062578301073722,0.2493946637321992,2264,,,,,419078,648619,
